,"('BTC', 'BTC')","('ETH', 'ETH')","('BNB', 'BNB')","('XRP', 'XRP')","('SOL', 'SOL')","('DOGE', 'DOGE')","('ADA', 'ADA')","('AVAX', 'AVAX')","('TRX', 'TRX')","('DOT', 'DOT')","('MATIC', 'MATIC')","('LINK', 'LINK')","('NEAR', 'NEAR')","('OP', 'OP')","('ARB', 'ARB')","('APT', 'APT')","('STX', 'STX')","('ICP', 'ICP')"
2015-09-24,234.5290069580078,,,,,,,,,,,,,,,,,
2015-09-25,235.1439971923828,,,,,,,,,,,,,,,,,
2015-09-26,234.33999633789065,,,,,,,,,,,,,,,,,
2015-09-27,232.7570037841797,,,,,,,,,,,,,,,,,
2015-09-28,239.1419982910156,,,,,,,,,,,,,,,,,
2015-09-29,236.68699645996097,,,,,,,,,,,,,,,,,
2015-09-30,236.05999755859375,,,,,,,,,,,,,,,,,
2015-10-01,237.5489959716797,,,,,,,,,,,,,,,,,
2015-10-02,237.29299926757812,,,,,,,,,,,,,,,,,
2015-10-03,238.72999572753903,,,,,,,,,,,,,,,,,
2015-10-04,238.25900268554688,,,,,,,,,,,,,,,,,
2015-10-05,240.38299560546875,,,,,,,,,,,,,,,,,
2015-10-06,246.06300354003903,,,,,,,,,,,,,,,,,
2015-10-07,242.968994140625,,,,,,,,,,,,,,,,,
2015-10-08,242.3040008544922,,,,,,,,,,,,,,,,,
2015-10-09,243.93099975585935,,,,,,,,,,,,,,,,,
2015-10-10,244.9409942626953,,,,,,,,,,,,,,,,,
2015-10-11,247.0500030517578,,,,,,,,,,,,,,,,,
